"id","scientificName","names_wo_author","est"
10883,"Psidium rufum Mart. ex DC.","Psidium rufum","MG/ES"
10885,"Psidium sartorianum (O.Berg) Nied.","Psidium sartorianum","MG/ES"
10886,"Psidium schenckianum Kiaersk.","Psidium schenckianum","MG"
10892,"Siphoneugena densiflora O.Berg","Siphoneugena densiflora","MG/ES"
10893,"Siphoneugena dussii (Krug & Urb.) Proença","Siphoneugena dussii","MG/ES"
10895,"Siphoneugena kiaerskoviana (Burret) Kausel","Siphoneugena kiaerskoviana","MG"
10896,"Siphoneugena kuhlmannii Mattos","Siphoneugena kuhlmannii","MG/ES"
10897,"Siphoneugena reitzii D.Legrand","Siphoneugena reitzii","MG"
10900,"Andradea floribunda Allemão","Andradea floribunda","MG/ES"
10906,"Bougainvillea glabra Choisy","Bougainvillea glabra","MG/ES"
10907,"Bougainvillea spectabilis Willd.","Bougainvillea spectabilis","MG/ES"
10909,"Guapira areolata (Heimerl) Lundell","Guapira areolata","MG"
10910,"Guapira hirsuta (Choisy) Lundell","Guapira hirsuta","MG/ES"
10913,"Guapira opposita (Vell.) Reitz","Guapira opposita","MG/ES"
10915,"Guapira tomentosa (Casar.) Lundell","Guapira tomentosa","MG"
10930,"Neea verticillata Ruiz & Pav.","Neea verticillata","MG/ES"
10933,"Pisonia ambigua Heimerl","Pisonia ambigua","MG/ES"
10935,"Ramisia brasiliensis Oliv.","Ramisia brasiliensis","MG/ES"
10962,"Heisteria ovata Benth.","Heisteria ovata","MG"
10963,"Heisteria perianthomega (Vell.) Sleumer","Heisteria perianthomega","MG/ES"
10964,"Heisteria silvianii Schwacke","Heisteria silvianii","MG/ES"
10971,"Ximenia americana L.","Ximenia americana","MG/ES"
10974,"Chionanthus ferrugineus (Gilg) P.S.Green","Chionanthus ferrugineus","MG/ES"
10975,"Chionanthus filiformis (Vell.) P.S.Green","Chionanthus filiformis","MG/ES"
10977,"Chionanthus greenii Lombardi","Chionanthus greenii","MG"
10979,"Chionanthus subsessilis (Eichler) P.S.Green","Chionanthus subsessilis","MG"
10981,"Chionanthus trichotomus (Vell.) P.S.Green","Chionanthus trichotomus","MG"
10984,"Agonandra excelsa Griseb.","Agonandra excelsa","MG/ES"
12575,"Ternstroemia brasiliensis Cambess.","Ternstroemia brasiliensis","MG/ES"
12576,"Ternstroemia cuneifolia Gardner","Ternstroemia cuneifolia","MG"
12578,"Gallesia integrifolia (Spreng.) Harms","Gallesia integrifolia","MG"
12582,"Phytolacca dioica L.","Phytolacca dioica","MG"
12585,"Seguieria aculeata Jacq.","Seguieria aculeata","MG/ES"
12586,"Seguieria americana L.","Seguieria americana","MG"
12587,"Seguieria langsdorffii Moq.","Seguieria langsdorffii","MG/ES"
12593,"Picramnia ciliata Mart.","Picramnia ciliata","MG/ES"
12595,"Picramnia elliptica Kuhlm. ex Pirani & W.W.Thomas","Picramnia elliptica","MG/ES"
12597,"Picramnia gardneri Planch.","Picramnia gardneri","MG/ES"
12598,"Picramnia glazioviana Engl.","Picramnia glazioviana","MG/ES"
12600,"Picramnia parvifolia Engl.","Picramnia parvifolia","MG"
12601,"Picramnia ramiflora Planch.","Picramnia ramiflora","MG/ES"
12602,"Picramnia sellowii Planch.","Picramnia sellowii","MG"
12738,"Piper aduncum L.","Piper aduncum","MG/ES"
13696,"Coccoloba alnifolia Casar.","Coccoloba alnifolia","MG/ES"
13699,"Coccoloba declinata (Vell.) Mart.","Coccoloba declinata","MG/ES"
13701,"Coccoloba glaziovii Lindau","Coccoloba glaziovii","MG"
13704,"Coccoloba marginata Benth.","Coccoloba marginata","MG"
13705,"Coccoloba mollis Casar.","Coccoloba mollis","MG"
13710,"Coccoloba persicaria Wedd.","Coccoloba persicaria","MG"
13717,"Coccoloba warmingii Meisn.","Coccoloba warmingii","MG/ES"
13737,"Ruprechtia laxiflora Meisn.","Ruprechtia laxiflora","MG/ES"
13782,"Euplassa inaequalis (Pohl) Engl.","Euplassa inaequalis","MG"
13783,"Euplassa incana (Klotzsch) I.M.Johnst.","Euplassa incana","MG"
13784,"Euplassa itatiaiae Sleumer","Euplassa itatiaiae","MG"
13785,"Euplassa legalis (Vell.) I.M.Johnst.","Euplassa legalis","MG"
13787,"Euplassa organensis (Gardner) I.M.Johnst.","Euplassa organensis","MG"
13788,"Euplassa rufa (Loes.) Sleumer","Euplassa rufa","MG"
13789,"Euplassa semicostata Plana","Euplassa semicostata","MG"
13791,"Panopsis multiflora (Schott ex Spreng.) Ducke","Panopsis multiflora","MG"
13798,"Roupala longepetiolata Pohl","Roupala longepetiolata","MG/ES"
13799,"Roupala montana Aubl.","Roupala montana","MG/ES"
13801,"Roupala paulensis Sleumer","Roupala paulensis","MG"
13825,"Alseis floribunda Schott","Alseis floribunda","MG/ES"
13829,"Amaioua guianensis Aubl.","Amaioua guianensis","MG/ES"
13830,"Amaioua intermedia Mart. ex Schult. & Schult.f.","Amaioua intermedia","MG/ES"
13831,"Amaioua pilosa K.Schum.","Amaioua pilosa","MG/ES"
13835,"Bathysa australis (A.St.-Hil.) K.Schum.","Bathysa australis","MG/ES"
13837,"Bathysa gymnocarpa K.Schum.","Bathysa gymnocarpa","MG"
13839,"Bathysa nicholsonii K.Schum.","Bathysa nicholsonii","MG/ES"
13840,"Bathysa stipulata (Vell.) C.Presl","Bathysa stipulata","MG/ES"
13863,"Chomelia brasiliana A.Rich.","Chomelia brasiliana","MG/ES"
13869,"Chomelia obtusa Cham. & Schltdl.","Chomelia obtusa","MG/ES"
13872,"Chomelia pedunculosa Benth.","Chomelia pedunculosa","MG/ES"
13898,"Coussarea congestiflora Müll.Arg.","Coussarea congestiflora","MG/ES"
13899,"Coussarea contracta (Walp.) Müll.Arg.","Coussarea contracta","MG/ES"
13902,"Coussarea hydrangeifolia (Benth.) Müll.Arg.","Coussarea hydrangeifolia","MG/ES"
13903,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica","MG/ES"
13905,"Coussarea megistophylla Standl.","Coussarea megistophylla","MG"
13911,"Coussarea verticillata Müll.Arg.","Coussarea verticillata","MG"
13915,"Coutarea hexandra (Jacq.) K.Schum.","Coutarea hexandra","MG/ES"
13945,"Faramea atlantica J.G.Jardim & Zappi","Faramea atlantica","MG/ES"
13962,"Faramea hyacinthina Mart.","Faramea hyacinthina","MG"
13980,"Faramea oligantha Müll.Arg.","Faramea oligantha","MG/ES"
13990,"Faramea stipulacea (Cham. & Schltdl.) DC.","Faramea stipulacea","MG/ES"
14045,"Genipa americana L.","Genipa americana","MG/ES"
14046,"Genipa infundibuliformis Zappi & Semir","Genipa infundibuliformis","MG/ES"
14054,"Guettarda platyphylla Müll.Arg.","Guettarda platyphylla","MG"
14057,"Guettarda viburnoides Cham. & Schltdl.","Guettarda viburnoides","MG/ES"
14059,"Hamelia patens Jacq.","Hamelia patens","MG/ES"
14078,"Ixora brevifolia Benth.","Ixora brevifolia","MG"
14083,"Ixora venulosa Benth.","Ixora venulosa","MG"
14085,"Ladenbergia hexandra (Pohl) Klotzsch","Ladenbergia hexandra","MG/ES"
14116,"Melanopsidium nigrum Colla","Melanopsidium nigrum","MG/ES"
14123,"Molopanthera paniculata Turcz.","Molopanthera paniculata","MG/ES"
14135,"Palicourea blanchetiana Schltdl.","Palicourea blanchetiana","MG/ES"
14148,"Posoqueria acutifolia Mart.","Posoqueria acutifolia","MG"
14150,"Posoqueria latifolia (Rudge) Schult.","Posoqueria latifolia","MG/ES"
14151,"Posoqueria macropus Mart.","Posoqueria macropus","MG/ES"
14167,"Psychotria carthagenensis Jacq.","Psychotria carthagenensis","MG/ES"
14169,"Psychotria cupularis (Müll.Arg.) Standl.","Psychotria cupularis","MG/ES"
14222,"Psychotria subspathulata (Müll.Arg.) C.M.Taylor","Psychotria subspathulata","MG"
14231,"Randia armata (Sw.) DC.","Randia armata","MG/ES"
14254,"Rudgea gardenioides (Cham.) Müll.Arg.","Rudgea gardenioides","MG"
14257,"Rudgea jasminoides (Cham.) Müll.Arg.","Rudgea jasminoides","MG"
14261,"Rudgea nodosa (Cham.) Benth.","Rudgea nodosa","MG/ES"
14265,"Rudgea recurva Müll.Arg.","Rudgea recurva","MG/ES"
14267,"Rudgea reticulata Benth.","Rudgea reticulata","MG/ES"
14270,"Rudgea triflora Benth.","Rudgea triflora","MG"
14275,"Rustia formosa (Cham. & Schltdl.) Klotzsch","Rustia formosa","MG/ES"
14293,"Simira pikia (K.Schum.) Steyerm.","Simira pikia","MG"
14294,"Simira sampaioana (Standl.) Steyerm.","Simira sampaioana","MG/ES"
14339,"Tocoyena sellowiana (Cham. & Schltdl.) K.Schum.","Tocoyena sellowiana","MG/ES"
14346,"Meliosma sellowii Urb.","Meliosma sellowii","MG/ES"
14353,"Azara uruguayensis (Speg.) Sleumer","Azara uruguayensis","MG"
14355,"Banara brasiliensis (Schott) Benth.","Banara brasiliensis","MG"
14358,"Banara parviflora (A.Gray) Benth.","Banara parviflora","MG/ES"
14359,"Banara serrata (Vell.) Warb.","Banara serrata","MG"
14362,"Casearia aculeata Jacq.","Casearia aculeata","MG/ES"
14363,"Casearia arborea (Rich.) Urb.","Casearia arborea","MG/ES"
14366,"Casearia commersoniana Cambess.","Casearia commersoniana","MG/ES"
14367,"Casearia decandra Jacq.","Casearia decandra","MG/ES"
14368,"Casearia eichleriana Sleumer","Casearia eichleriana","MG"
14369,"Casearia gossypiosperma Briq.","Casearia gossypiosperma","MG"
14370,"Casearia grandiflora Cambess.","Casearia grandiflora","MG/ES"
14371,"Casearia guianensis (Aubl.) Urb.","Casearia guianensis","MG"
14372,"Casearia javitensis Kunth","Casearia javitensis","MG/ES"
14373,"Casearia lasiophylla Eichler","Casearia lasiophylla","MG/ES"
14374,"Casearia luetzelburgii Sleumer","Casearia luetzelburgii","MG/ES"
14375,"Casearia mariquitensis Kunth","Casearia mariquitensis","MG"
14376,"Casearia melliodora Eichler","Casearia melliodora","MG"
14378,"Casearia obliqua Spreng.","Casearia obliqua","MG/ES"
14382,"Casearia selloana Eichler","Casearia selloana","MG"
14384,"Casearia sylvestris Sw.","Casearia sylvestris","MG/ES"
14386,"Laetia americana L.","Laetia americana","MG"
14388,"Macrothumia kuhlmannii (Sleumer) M.H.Alford","Macrothumia kuhlmannii","MG/ES"
14390,"Prockia crucis P.Browne ex L.","Prockia crucis","MG"
14392,"Salix humboldtiana Willd.","Salix humboldtiana","MG"
14394,"Xylosma ciliatifolia (Clos) Eichler","Xylosma ciliatifolia","MG"
14396,"Xylosma prockia (Turcz.) Turcz.","Xylosma prockia","MG"
14399,"Xylosma venosa N.E.Br.","Xylosma venosa","MG"
14456,"Chrysophyllum flexuosum Mart.","Chrysophyllum flexuosum","MG/ES"
14457,"Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.","Chrysophyllum gonocarpum","MG/ES"
14458,"Chrysophyllum imperiale (Linden ex K.Koch & Fintelm.) Benth. & Hook.","Chrysophyllum imperiale","MG"
14459,"Chrysophyllum inornatum Mart.","Chrysophyllum inornatum","MG/ES"
14462,"Chrysophyllum marginatum (Hook. & Arn.) Radlk.","Chrysophyllum marginatum","MG"
