usagekey	scientificname	rank	status	matchtype	canonicalname	confidence	kingdom	phylum	order	family	genus	species	kingdomkey	phylumkey	classkey	orderkey	familykey	genuskey	specieskey	synonym	class	acceptedusagekey	note	original_sciname
2973060	Albizia niopioides (Benth.) Burkart	species	SYNONYM	FUZZY	Albizia niopioides	92	Plantae	Tracheophyta	Fabales	Fabaceae	Albizia	Albizia niopoides	6	7707728	220	1370	5386	2972897	2973046	TRUE	Magnoliopsida	2973046	Similarity: name=95; authorship=0; classification=-2; rank=5; status=0	Albizia niopoides
7530290	Albizzia niopoides (Benth.) Burkart, 1952	species	SYNONYM	FUZZY	Albizzia niopoides	78	Plantae	Tracheophyta	Fabales	Fabaceae	Albizia	Albizia niopoides	6	7707728	220	1370	5386	2972897	2973046	TRUE	Magnoliopsida	2973046	Similarity: name=75; authorship=0; classification=-2; rank=5; status=0	Albizia niopoides
7107974	Cedrela fissilis Vell.	species	ACCEPTED	EXACT	Cedrela fissilis	98	Plantae	Tracheophyta	Sapindales	Meliaceae	Cedrela	Cedrela fissilis	6	7707728	220	933	2397	3190510	7107974	FALSE	Magnoliopsida	NA	NA	Cedrela fissilis
2945570	Centrolobium robustum (Vell.) Mart. ex Benth.	species	ACCEPTED	EXACT	Centrolobium robustum	97	Plantae	Tracheophyta	Fabales	Fabaceae	Centrolobium	Centrolobium robustum	6	7707728	220	1370	5386	2945568	2945570	FALSE	Magnoliopsida	NA	NA	Centrolobium robustum
9283422	Centrolobium robustum (Vell.) Mart.	species	SYNONYM	EXACT	Centrolobium robustum	97	Plantae	Tracheophyta	Fabales	Fabaceae	Centrolobium	Centrolobium robustum	6	7707728	220	1370	5386	2945568	2945570	TRUE	Magnoliopsida	2945570	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Centrolobium robustum
2946600	Clitoria fairchildiana R.A.Howard	species	ACCEPTED	EXACT	Clitoria fairchildiana	98	Plantae	Tracheophyta	Fabales	Fabaceae	Clitoria	Clitoria fairchildiana	6	7707728	220	1370	5386	2946499	2946600	FALSE	Magnoliopsida	NA	NA	Clitoria fairchildiana
4092242	Handroanthus impetiginosum (Mart. ex DC.) Mattos	species	ACCEPTED	FUZZY	Handroanthus impetiginosum	96	Plantae	Tracheophyta	Lamiales	Bignoniaceae	Handroanthus	Handroanthus impetiginosum	6	7707728	220	408	6655	6401269	4092242	FALSE	Magnoliopsida	NA	NA	Handroanthus impetiginosus
7546887	Inga marginata Willd.	species	ACCEPTED	EXACT	Inga marginata	97	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga marginata	6	7707728	220	1370	5386	2965936	7546887	FALSE	Magnoliopsida	NA	NA	Inga marginata
5357925	Inga marginata Benth.	species	SYNONYM	EXACT	Inga marginata	97	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga laurina	6	7707728	220	1370	5386	2965936	5358039	TRUE	Magnoliopsida	5358039	Similarity: name=110; authorship=0; classification=-2; rank=5; status=0	Inga marginata
7574428	Inga marginata Kunth	species	DOUBTFUL	EXACT	Inga marginata	95	Plantae	Tracheophyta	Fabales	Fabaceae	Inga	Inga marginata	6	7707728	220	1370	5386	2965936	7574428	FALSE	Magnoliopsida	NA	Similarity: name=110; authorship=0; classification=-2; rank=5; status=-5	Inga marginata
